application_number,filing_date,application_invention_type,examiner_full_name,examiner_art_unit,uspc_class,uspc_subclass,confirm_number,atty_docket_number,appl_status_desc,appl_status_date,file_location,file_location_date,earliest_pgpub_number,earliest_pgpub_date,wipo_pub_number,wipo_pub_date,patent_number,patent_issue_date,invention_title,small_entity_indicator,aia_first_to_file
05812158,1977-07-01,Utility,"STEPHAN, STEVEN L",2305,369,275000,1727,,Patented Case,1989-02-03,FILE REPOSITORY (FRANCONIA),2018-08-07,,,,,4819223,1989-04-04,VIDEO RECORD DISC,UNDISCOUNTED,false
05810342,1977-06-27,Utility,"NOT, DEFINED",1107,044,062000,1222,,Patented Case,1982-06-08,FILE REPOSITORY (FRANCONIA),1999-06-10,,,,,4333741,1982-06-08,OLEFIN-ACRYLONITRILE COPOLYMERS AND USES THEREOF,UNDISCOUNTED,false
05812936,1977-07-01,Utility,"WEISSTUCH, AARON",1102,250,999999,1935,S-46022,Patented Case,1981-02-23,FILE REPOSITORY (FRANCONIA),1999-06-10,,,,,4278890,1981-07-14,METHOD AND MEANS OF DIRECTING AN ION BEAM ONTO AN INSULATING SURFACE FOR ION IMPLANTATION OR SPUTTERING,UNDISCOUNTED,false
05812295,1977-07-01,Utility,"SCHWARTZ, RICHARD A",1201,544,222000,1767,,Patented Case,1982-06-22,FILE REPOSITORY (FRANCONIA),1999-06-10,,,,,4317911,1982-03-02,PIPERIDINE CONTAINING CYANURIC ACID DERIVATIVES,UNDISCOUNTED,false
05812285,1977-07-01,Utility,"HECKER, STUART N",2305,365,103000,1764,,Patented Case,1983-05-02,ELECTRONIC,,,,,,4371953,1983-02-01,ANALOG READ ONLY MEMORY,UNDISCOUNTED,false
05812590,1977-07-05,Re-Issue,"ARNOLD, BRUCE",2507,356,346000,1846,,Patented Case,1985-08-06,FILE REPOSITORY (FRANCONIA),2018-11-06,,,,,RE31941,1985-07-09,MULTIPLEX INTERFEROMETER,UNDISCOUNTED,false
05812090,1977-07-01,Utility,"GALLAGHER, JOHN J",1301,156,327000,1706,"C-18,392",Patented Case,1980-11-19,FILE REPOSITORY (FRANCONIA),1999-06-10,,,,,4253901,1981-03-03,HOT TACK ADHESIVE,UNDISCOUNTED,false
05812680,1977-07-05,Utility,"NOT, DEFINED",2407,028,255000,1874,RPT44,Patented Case,1983-02-16,FILE REPOSITORY (FRANCONIA),1999-06-10,,,,,4356603,1982-11-02,METHOD FOR INTRODUCTING A YARDN INTO A PNEUMATIC YARN TEXTURING MEANS,UNDISCOUNTED,false
05812729,1977-07-05,Utility,"NOT, DEFINED",2105,200,999999,1884,,Patented Case,1981-02-26,FILE REPOSITORY (FRANCONIA),1999-06-10,,,,,4268732,1981-05-19,ARC QUENCHING CHAMBER FOR HIGH BREAKING CAPACITY CIRCUIT - BREAKERS,UNDISCOUNTED,false
05812864,1977-07-05,Utility,"FISHER, RICHARD V",1306,210,805000,1916,,Patented Case,1985-07-31,FILE REPOSITORY (FRANCONIA),1999-06-10,,,,,4330412,1982-05-18,HYDROTHERAPY DEVICE,UNDISCOUNTED,false
05812797,1977-07-05,Utility,"BERNSTEIN, HIRAM H",1305,426,002000,1899,,Patented Case,1983-05-13,FILE REPOSITORY (FRANCONIA),1997-04-18,,,,,4393082,1983-07-12,ION EXCHANGE MATERIALS TO INCREASE CONSUMPTION OF NON-PROTEIN NITROGEN BY RUMINANTS,UNDISCOUNTED,false
05812965,1977-07-05,Utility,"BERNSTEIN, HIRAM H",1305,156,610000,1945,,Patented Case,1982-02-11,FILE REPOSITORY (FRANCONIA),1999-06-10,,,,,4314873,1982-02-09,METHOD FOR DEPOSITING HET EROEPITAXIALLY INP ON GAAS SEMI-INSULATING SUBSTRATES,UNDISCOUNTED,false
05813027,1977-07-05,Utility,"WALTZ, THOMAS A",1107,044,075000,1963,,Patented Case,1982-03-30,FILE REPOSITORY (FRANCONIA),1999-06-10,,,,,4322220,1982-03-30,MULTIPURPOSE HYDROCARBON FUEL AND LUBRICATING OIL ADDITIVE,UNDISCOUNTED,false
05813041,1977-07-05,Utility,"NOT, DEFINED",3104,355,999999,1966,,Patented Case,1985-02-21,FILE REPOSITORY (FRANCONIA),1999-06-10,,,,,4512651,1985-04-23,COLLATING DOCUMENT FEEDER AND REPRODUCTION APPARATUS HAVING COPY DUPLEXING CAPABILITIES,UNDISCOUNTED,false
05813149,1977-07-05,Utility,"NOT, DEFINED",2306,364,574000,1993,,Patented Case,1982-02-09,FILE REPOSITORY (FRANCONIA),1999-06-10,,,,,4314347,1982-02-02,SEISMIC SIGNAL PROCESSING MACHINE AND METHOD FOR NOISE REMOVAL,UNDISCOUNTED,false
05813224,1977-07-05,Utility,"NOT, DEFINED",3501,070,315000,2013,POK106A1,Patented Case,1982-12-13,FILE REPOSITORY (FRANCONIA),1999-06-10,,,,,4350031,1982-09-21,PUSHBUTTON OPERATED DOOR LOCKS,UNDISCOUNTED,false
05811739,1977-06-30,Utility,"MCQUADE, JOHN P",3202,425,073000,1602,,Patented Case,1982-02-23,FILE REPOSITORY (FRANCONIA),1999-06-10,,,,,4316708,1982-02-23,MACHINE FOR CONTINUOUSLY MOLDING SOLID PELLETS FROM A MUD COMPOSITION,UNDISCOUNTED,false
05812662,1977-07-05,Utility,"NOT, DEFINED",3304,273,313000,1873,,Patented Case,1981-12-14,FILE REPOSITORY (FRANCONIA),2016-09-13,,,,,4296930,1981-10-27,TV GAME APPARATUS,UNDISCOUNTED,false
05813199,1977-07-05,Utility,"NOT, DEFINED",3304,273,13800A,2003,PF76E130,Patented Case,1983-04-26,FILE REPOSITORY (FRANCONIA),1999-06-10,,,,,4339134,1982-07-13,ELECTRONIC CARD GAME,UNDISCOUNTED,false
05813302,1977-07-06,Utility,"LOOK, EDWARD K",3403,252,999999,2030,LQM4211,Patented Case,1981-05-01,FILE REPOSITORY (FRANCONIA),1999-06-10,,,,,4264280,1981-04-28,"WATER VAPOUR RELEASING COMPOSITION OF MATTER AND DEVICE, AND PROCESS FOR THEIR USE",UNDISCOUNTED,false
05813362,1977-07-06,Utility,"NOT, DEFINED",2505,356,350000,2048,HDLTECJA,Patented Case,1984-10-22,FILE REPOSITORY (FRANCONIA),1995-04-10,,,,,4138196,1979-02-06,FIBER INTERFEROMETER ROTARY MOTION SENSOR,UNDISCOUNTED,false
05813366,1977-07-06,Utility,"NOT, DEFINED",2405,174,999999,2052,NONE,Patented Case,1980-10-07,FILE REPOSITORY (FRANCONIA),1999-06-10,,,,,4271329,1981-06-02,FUSIBLE TEXTILE DEVICE ADAPTED TO BE PLACED BETWEEN A THERMO-RETRACTIBLE ELEMENT AND ELECTRICAL CONDUCTORS OR COMPONENTS TO PROVIDE A FLUID TIGHT COUPLING,UNDISCOUNTED,false
05813436,1977-07-07,Utility,"ALBRECHT, DENNIS",1506,252,099000,2072,A4717478,Patented Case,1982-05-18,FILE REPOSITORY (FRANCONIA),1999-06-10,,,,,4330423,1982-05-18,"PROCESS FOR THE PRODUCTION OF SOLID, POURABLE WASHING OR CLEANING AGENTS WITH A CONTENT OF A CALCIUM BINDING SILICATE",UNDISCOUNTED,false
05813450,1977-07-07,Utility,"MOY, JOSEPH MAN",2401,150,003000,2075,P77190,Patented Case,1981-06-16,FILE REPOSITORY (FRANCONIA),1999-06-10,,,,,4285376,1981-08-25,RECLOSABLE PLASTIC BAG CONSTRUCTION MADE FROM A ONE PIECE EXTRUSION,UNDISCOUNTED,false
05811222,1977-06-29,Utility,"NOT, DEFINED",2507,999,006800,1467,Q6424,Patented Case,1980-10-01,FILE REPOSITORY (FRANCONIA),1999-06-10,,,,,4243294,1981-01-06,METHOD AND APPARATUS FOR GENERATING SYNCHRONIZING SIGNAL FOR A BEAM SCANNER,UNDISCOUNTED,false
05813394,1977-07-06,Utility,"NOT, DEFINED",1102,204,00100T,2059,,Patented Case,1983-01-25,FILE REPOSITORY (FRANCONIA),1999-06-10,,,,,4370206,1983-01-25,METHOD OF OPERATING AN ELECTROCHEMICAL GAS MEASURING SYSTEM,UNDISCOUNTED,false
05813056,1977-07-05,Utility,"ROBINSON, DOUGLAS W",1205,424,330000,1971,AHR310CI,Patented Case,1983-02-03,FILE REPOSITORY (FRANCONIA),1999-06-10,,,,,4379167,1983-04-05,1-ARYLOXY-4-AMINO-2-BUTANOLS AND THE PHARMACEUTICAL USE THEREOF,UNDISCOUNTED,false
05813831,1977-07-08,Utility,"MCQUADE, JOHN P",3202,249,083000,2160,NONE,Patented Case,1979-02-06,FILE REPOSITORY (FRANCONIA),1995-04-10,,,,,4138084,1979-02-06,ADJUSTABLE FOUNDATION WINDOW FORM,UNDISCOUNTED,false
05813986,1977-07-08,Utility,"VALENZA, JOSEPH E",3103,198,334000,2207,WAK-1353,Patented Case,1982-05-18,FILE REPOSITORY (FRANCONIA),1999-06-10,,,,,4330057,1982-05-18,PLATFORM TO PLATFORM CONVEYORS,UNDISCOUNTED,false
05813971,1977-07-08,Utility,"NIEBLING, JOHN F",1107,260,999999,2200,OZ32169,Patented Case,1982-03-16,FILE REPOSITORY (FRANCONIA),1999-06-10,,,,,4305888,1981-12-15,MANUFACTURE OF SALTS OF DICARBOXYLIC ACIDS AND DIAMINES,UNDISCOUNTED,false
05814040,1977-07-08,Utility,"SPITZER, ROBERT H",1306,210,173000,2223,,Patented Case,1981-10-13,SUITLAND STORAGE DEPOT,2007-06-19,,,,,4294695,1981-10-13,MULTI-PHASE SEPARATION METHODS AND APPARATUS,UNDISCOUNTED,false
05814082,1977-07-08,Utility,"NELSON, PETER A",2201,362,259000,2235,GRUMMAN4,Patented Case,1982-05-26,FILE REPOSITORY (FRANCONIA),1999-06-10,,,,,4306278,1981-12-15,SEMICONDUCTOR LASER ARRAY,UNDISCOUNTED,false
05814100,1977-07-08,Utility,"ROSEN, SAM",1205,424,329000,2239,NONE,Patented Case,1978-11-21,FILE REPOSITORY (FRANCONIA),1995-03-24,,,,,4126701,1978-11-21,PROCESS OF SPARING POULTRY FROM THE EFFECT OF AFLATOXIN,UNDISCOUNTED,false
05814090,1977-07-08,Utility,"NOT, DEFINED",3405,192,086000,2237,I0107553,Patented Case,1981-01-19,FILE REPOSITORY (FRANCONIA),1999-06-10,,,,,4257509,1981-03-24,HYDRAULIC CLUTCH WITH DUAL PISTONS,UNDISCOUNTED,false
05812946,1977-07-05,Utility,"NOT, DEFINED",1503,264,297000,1938,MO1725LE,Patented Case,1982-03-02,FILE REPOSITORY (FRANCONIA),1999-06-10,,,,,4317791,1982-03-02,PROCESS FOR THE PRODUCTION OF NON-CELLULAR MOLDED ARTICLS,UNDISCOUNTED,false
05814368,1977-07-11,Utility,"NOT, DEFINED",1206,071,105000,2306,,Patented Case,1980-08-26,FILE REPOSITORY (FRANCONIA),1999-06-10,,,,,4219352,1980-08-26,HERBICIDAL 4-TRIFLUOROMETHYL-4 -NITRODIPHENYL ETHERS,UNDISCOUNTED,false
05812487,1977-07-05,Utility,"NOT, DEFINED",1306,210,169000,1820,NONE,Patented Case,1981-07-01,FILE REPOSITORY (FRANCONIA),1999-06-10,,,,,4290883,1981-09-22,CLASSIFYING DEVICE FOR AGGREGATES IMMERSED IN A FLUID,UNDISCOUNTED,false
05812427,1977-07-01,Utility,"ORE, DALE",1203,424,064000,1807,RWP12694,Patented Case,1983-01-06,FILE REPOSITORY (FRANCONIA),1999-06-10,,,,,4367220,1983-01-04,LIPSTICK COMPOSITION AND PROCESS FOR PREPARING SAME,UNDISCOUNTED,false
05814513,1977-07-11,Utility,"BERCH, MARK L",1202,544,058200,2339,,Patented Case,1983-09-29,FILE REPOSITORY (FRANCONIA),1997-04-23,,,,,4418195,1983-11-29,SILICON-CONTAINING QUATERNARY AMMONIUM THIAZINES,UNDISCOUNTED,false
05814463,1977-07-11,Utility,"HART, DOUGLAS",3406,060,284000,2330,,Patented Case,1983-06-01,FILE REPOSITORY (FRANCONIA),1997-04-18,,,,,4395876,1983-08-02,VARIBLE SECONDARY AIR SYSTEM FOR AN ENGINE,UNDISCOUNTED,false
05814476,1977-07-11,Utility,"JAWORSKI, FRANCIS J",3305,073,618000,2332,,Patented Case,1981-04-22,FILE REPOSITORY (FRANCONIA),1999-06-10,,,,,4275597,1981-06-30,ULTRASONIC BEAM SCANNING TECHNIQUE AND APPARATUS,UNDISCOUNTED,false
05814572,1977-07-11,Utility,"WALTZ, THOMAS A",1107,564,186000,2354,,Patented Case,1981-03-23,FILE REPOSITORY (FRANCONIA),1999-06-10,,,,,4270001,1981-05-26,QUATERNARIES OF HYDROXYALKYLAMINOALKYLAMIDES,UNDISCOUNTED,false
05814559,1977-07-11,Utility,"NOT, DEFINED",1202,548,461000,2351,000000000000,Patented Case,1983-09-01,FILE REPOSITORY (FRANCONIA),1997-04-23,,,,,4413131,1983-11-01,"4,5,6,7-TETRAHALO-ISOINDOLIN-1-ONE DERIVATIVES",UNDISCOUNTED,false
05814770,1977-07-11,Utility,"NAFF, DAVID M",1302,435,015000,2403,,Patented Case,1980-10-24,FILE REPOSITORY (FRANCONIA),1999-06-10,,,,,4250255,1981-02-10,METHOD OF ASSAYING FOR THE ACTIVITY OF ISOENZYMES,UNDISCOUNTED,false
05814850,1977-07-11,Utility,"SCHREYER, STAFFORD",2601,352,169000,2425,T-5131,Patented Case,1981-03-24,FILE REPOSITORY (FRANCONIA),1999-06-10,,,,,4273426,1981-06-16,MOTION PICTURE SYSTEM,UNDISCOUNTED,false
05814286,1977-07-11,Utility,"SHOAP, ALLAN N",2401,215,228000,2280,NONE,Patented Case,1981-03-18,FILE REPOSITORY (FRANCONIA),1999-06-10,,,,,4269319,1981-05-26,FLUID MEASURING CONTAINER CLOSURE CAP,UNDISCOUNTED,false
05814830,1977-07-12,Utility,"RIZZO, NICHOLAS",1202,544,026000,2419,X-4273C,Patented Case,1982-05-11,FILE REPOSITORY (FRANCONIA),1999-06-10,,,,,4329454,1982-05-11,CEPHALOSPORIN COMPOUNDS,UNDISCOUNTED,false
05814915,1977-07-12,Utility,"BONCK, RODNEY H",3502,002,114000,2441,NONE,Patented Case,1983-03-08,FILE REPOSITORY (FRANCONIA),1999-06-10,,,,,4382303,1983-05-10,NON-WOVEN POLYESTER WEARING APPAREL,SMALL,false
05814238,1977-07-08,Re-Issue,"NOT, DEFINED",2102,310,168000,2267,REL7351R,Patented Case,1983-04-05,FILE REPOSITORY (FRANCONIA),2018-11-06,,,,,RE31199,1983-04-05,MAGNETIC SPEED SENSOR,UNDISCOUNTED,false
05814066,1977-07-08,Re-Issue,"NOT, DEFINED",1501,523,514000,2230,,Patented Case,1983-08-31,FILE REPOSITORY (FRANCONIA),2018-11-06,,,,,RE31436,1983-11-01,THERMOSETTING POLYESTER COMPOSITION CONTAINING NORMALLY SOLID CARBOXY-CONTAINING DIENE POLYMER,UNDISCOUNTED,false
05814953,1977-07-12,Utility,"KASHNIKOW, ANDRES",3103,239,707000,2454,TP7783,Patented Case,1982-09-09,FILE REPOSITORY (FRANCONIA),1999-06-10,,,,,4347984,1982-09-07,ELECTROSTATIC SPRAY COATING APPARATUS,UNDISCOUNTED,false
05815002,1977-07-12,Utility,"TAYLOR, DENNIS L",3506,037,098000,2464,NONE,Patented Case,1983-03-23,FILE REPOSITORY (FRANCONIA),1999-06-10,,,,,4384415,1983-05-24,TRENCHING PLOW,UNDISCOUNTED,false
05815197,1977-07-12,Utility,"NASE, JEFFREY V",3103,198,425000,2507,D14500,Patented Case,1981-06-26,FILE REPOSITORY (FRANCONIA),1999-06-10,,,,,4287979,1981-09-08,METHOD AND APPARATUS FOR ASSEMBLING ROD-LIKE ARTICLES,UNDISCOUNTED,false
05815085,1977-07-13,Utility,"BRYANT III, JAMES E",2403,138,109000,2482,DC4025,Patented Case,1981-07-20,FILE REPOSITORY (FRANCONIA),1999-06-10,,,,,4290456,1981-09-22,THERMOPLASTIC PIPE STUB END,UNDISCOUNTED,false
05815405,1977-07-13,Utility,"NOT, DEFINED",2101,084,999999,2562,P1197,Patented Case,1982-03-02,FILE REPOSITORY (FRANCONIA),1999-06-10,,,,,4300437,1981-11-17,SECTIONALIZED MUSICAL DRUMS,UNDISCOUNTED,false
05815099,1977-07-13,Utility,"GOLDBERG, HOWARD N",3205,241,275000,2486,,Patented Case,1978-11-21,FILE REPOSITORY (FRANCONIA),1995-03-24,,,,,4126280,1978-11-21,IMPACT CRUSHER,UNDISCOUNTED,false
05815454,1977-07-13,Utility,"NOT, DEFINED",1103,106,732000,2577,,Patented Case,1978-11-28,FILE REPOSITORY (FRANCONIA),1995-03-29,,,,,4127416,1978-11-28,METHOD OF PRODUCING A CERAMIC PRODUCT,UNDISCOUNTED,false
05815548,1977-07-14,Utility,"NOT, DEFINED",2506,250,483000,2603,D20329,Patented Case,1978-12-29,FILE REPOSITORY (FRANCONIA),1999-06-10,,,,,4266137,1981-05-05,"CERIUM ACTIVATED YTTRIUM GADOLINIUM PHOSPHATE X-RAY PHOSPHORS, PROCESS FOR PRODUCING SAME, AN X-RAY INTENSIFYING SCREEN EMPLOYING SAME",UNDISCOUNTED,false
05815481,1977-07-14,Utility,"REESE, RANDOLPH A",3102,137,212000,2585,,Patented Case,1982-12-21,FILE REPOSITORY (FRANCONIA),1999-06-10,,,,,4347863,1982-09-07,RAILROAD VEHICLE,UNDISCOUNTED,false
05816280,1977-07-07,Utility,"NOT, DEFINED",2202,342,017000,2809,,Patented Case,1991-02-14,FILE REPOSITORY (FRANCONIA),2018-07-11,,,,,5008677,1991-04-16,ANTI-JAMMING DEVICE FOR A RADAR PROVIDED WITH A REFLECTOR ANTENNA,UNDISCOUNTED,Other
05813485,1977-07-07,Utility,"NOT, DEFINED",1107,260,152000,2084,,Patented Case,1984-01-26,FILE REPOSITORY (FRANCONIA),1997-04-25,,,,,4439362,1984-03-27,"AZO COMPOUND HAVING ATLEAST ONE 1,4,DIOXANYLEMETHOXYCARBYL-ALKYL OR- ALBOXYALKYL GROUP",UNDISCOUNTED,false
05815542,1977-07-14,Utility,"NOT, DEFINED",1305,062,024000,2601,,Patented Case,1981-04-27,FILE REPOSITORY (FRANCONIA),2016-09-14,,,,,4278457,1981-07-14,HYDROCARBON GAS PROCESSING,UNDISCOUNTED,false
05813827,1977-07-08,Utility,"NOT, DEFINED",3304,999,113000,2159,HA1011,Patented Case,1981-02-10,FILE REPOSITORY (FRANCONIA),1999-06-10,,,,,4262900,1981-04-21,PLAYGROUND SET,UNDISCOUNTED,false
05815672,1977-07-14,Utility,"BRAUN, LESLIE ALLEN",3502,052,724000,2639,,Patented Case,1981-01-30,FILE REPOSITORY (FRANCONIA),1999-06-10,,,,,4261156,1981-04-14,CONSTRUCTION UNITS AND STRUCTURES THEREFROM,UNDISCOUNTED,false
05813677,1977-07-07,Utility,"RADUAZO, HENRY E",3504,052,721000,2123,E452H,Patented Case,1982-02-11,FILE REPOSITORY (FRANCONIA),1999-06-10,,,,,4314434,1982-02-09,UTILITY LINE SUPPORT STRUCTURE,UNDISCOUNTED,false
05815868,1977-07-14,Utility,"NOT, DEFINED",3402,123,494000,2692,NONE,Patented Case,1983-08-10,FILE REPOSITORY (FRANCONIA),1997-04-23,,,,,4408589,1983-10-11,PROCESS AND APPARATUS FOR OPERATING AN INTERNAL COMBUSTION ENGINE,UNDISCOUNTED,false
05815819,1977-07-15,Utility,"NOT, DEFINED",3306,132,009000,2683,,Patented Case,1982-11-09,FILE REPOSITORY (FRANCONIA),1999-06-10,,,,,4357951,1982-11-09,FROSTING OR TIPPING CAP FOR VARYING INTENSITY OF TREATMENT,UNDISCOUNTED,false
05815939,1977-07-15,Utility,"NOT, DEFINED",1306,210,198200,2711,PHBPP113,Patented Case,1981-03-19,FILE REPOSITORY (FRANCONIA),1999-06-10,,,,,4269710,1981-05-26,CHROMATOGRAPHIC APPARATUS,UNDISCOUNTED,false
05815671,1977-07-14,Utility,"DEAN, RICHARD",1101,428,683000,2638,ED0261E,Patented Case,1981-04-29,FILE REPOSITORY (FRANCONIA),1999-06-10,,,,,4282291,1981-08-04,DUCTILE CHROMIUM-CONTAINING FERRITIC ALLOYS,UNDISCOUNTED,false
05815977,1977-07-15,Utility,"SILVERBERG, SAM",1502,427,230000,2723,,Patented Case,1980-12-18,FILE REPOSITORY (FRANCONIA),2018-11-15,,,,,4255470,1981-03-10,PROCESS FOR PREVENTING POLYMER BUILDUP IN A POLYMERIZATION REACTOR,UNDISCOUNTED,false
05815989,1977-07-15,Re-Issue,"WATSON, ROBERT C",3203,254,001000,2729,NONE,Patented Case,1983-08-05,FILE REPOSITORY (FRANCONIA),2018-11-06,,,,,RE31206,1983-04-12,METHOD OF LOWERING AND RAISING LOADS BY MEANS OF A JACK ASSEMBLY AND LIFTING ELEMENT,UNDISCOUNTED,false
05819073,1977-07-13,Utility,"BARRON JR, GILBERTO",2202,342,014000,3510,59278,Patented Case,1989-10-26,FILE REPOSITORY (FRANCONIA),2018-06-22,,,,,4890109,1989-12-26,"LIGHTWEIGHT, BROADBAND, PULSED, FREQUENCY AGILE, SELF-SCREENING JAMMER FOR AIRBORNE DEPLOYMENT",UNDISCOUNTED,false
05816022,1977-07-15,Utility,"LYDDANE, WILLIAM",3505,297,230000,2740,NONE,Patented Case,1983-03-30,FILE REPOSITORY (FRANCONIA),1999-06-10,,,,,4385782,1983-05-31,FOLDING SEAT STRUCTURE,UNDISCOUNTED,false
05816126,1977-07-15,Utility,"GOODROW, JOHN L",1506,355,004000,2771,,Patented Case,1980-11-18,FILE REPOSITORY (FRANCONIA),1999-06-10,,,,,4234250,1980-11-18,ELECTROPHOTOGRAPHIC PRINTING SYSTEM,UNDISCOUNTED,false
05816339,1977-07-18,Utility,"NOT, DEFINED",3502,135,999999,2821,,Patented Case,1981-12-21,FILE REPOSITORY (FRANCONIA),1999-06-10,,,,,4295481,1981-10-20,CONVERTIBLE SUN SHADE,UNDISCOUNTED,false
05816396,1977-07-18,Utility,"NOT, DEFINED",3104,188,999999,2840,,Patented Case,1981-03-20,FILE REPOSITORY (FRANCONIA),1999-06-10,,,,,4271933,1981-06-09,WHEELCHAIR BRAKE ATTACHMENT,UNDISCOUNTED,false
05816434,1977-07-18,Utility,"CAPOSSELA, RONALD C",3404,062,457000,2850,,Patented Case,1980-01-15,FILE REPOSITORY (FRANCONIA),1995-09-06,,,,,4183226,1980-01-15,REFRIGERATED BEVERAGE HOLDER,UNDISCOUNTED,false
05816464,1977-07-18,Utility,"BROWN, JOHNNIE",1705,536,001000,2856,,Patented Case,1980-01-01,FILE REPOSITORY (FRANCONIA),1995-09-06,,,,,4181796,1980-01-01,PROCESS FOR OBTAINING XYLAN AND FIBRIN FROM VEGETABLE RAW MATERIAL CONTAINING XYLAN,UNDISCOUNTED,false
05816756,1977-07-18,Utility,"VALENZA, JOSEPH E",3103,198,735000,2934,K&T15,Patented Case,1981-07-25,FILE REPOSITORY (FRANCONIA),1999-06-10,,,,,4295561,1981-10-20,CONVEYOR WITH SCRAPERS,UNDISCOUNTED,false
05816712,1977-07-18,Utility,"ROBINSON, ELLIS P",1504,428,216000,2922,RCA71431,Patented Case,1981-02-23,FILE REPOSITORY (FRANCONIA),1999-06-10,,,,,4273822,1981-06-16,GLAZING PASTE FOR BONDING A METAL LAYER TO A CERAMIC SUBSTRATE,UNDISCOUNTED,false
05814914,1977-07-12,Utility,"FRIEDMAN, CARL D",3504,052,596000,2440,NONE,Patented Case,1980-01-15,FILE REPOSITORY (FRANCONIA),1995-09-06,,,,,4183188,1980-01-15,"SIMULATED BRICK PANEL, COMPOSITION AND METHOD",UNDISCOUNTED,false
05816818,1977-07-18,Utility,"YASKO JR, JOHN D",3306,128,075000,2947,,Patented Case,1981-03-03,FILE REPOSITORY (FRANCONIA),1999-06-10,,,,,4266537,1981-05-12,PORTABLE PROGRESSIVE AND INTERMITTENT TRACTION MACHINE,UNDISCOUNTED,false
05816790,1977-07-18,Utility,"BARR, JOSEPHINE",2203,034,066000,2941,,Patented Case,1982-03-23,FILE REPOSITORY (FRANCONIA),1999-06-10,,,,,4320585,1982-03-23,AUTOMATIC DRYING INSTALLATION,UNDISCOUNTED,false
05816261,1977-07-18,Utility,"MOORE, CHRISTOPHER K",2402,015,999999,2803,,Patented File - (Old Case Added for File Tracking Purposes),1990-09-27,FILE REPOSITORY (FRANCONIA),1995-04-10,,,,,4137598,1979-02-06,WINDSHIELD WIPER BLADE HAVING ARTICULATED MOLDED YOKES,UNDISCOUNTED,false
05816973,1977-07-19,Utility,"GREENLIEF, MAGDALEN Y",3402,123,999999,2985,RC279,Patented Case,1981-07-21,FILE REPOSITORY (FRANCONIA),1999-06-10,,,,,4291653,1981-09-29,DOOR CAR STARTER,UNDISCOUNTED,false
05816888,1977-07-18,Design,"NOT, DEFINED",2901,408,068000,2968,FF7328,Patented Case,1980-10-03,FILE REPOSITORY (FRANCONIA),1999-06-10,,,,,D259392,1981-06-02,PNEUMATIC DRILL,UNDISCOUNTED,false
05816853,1977-07-18,Utility,"NOT, DEFINED",3101,222,043000,2956,OXF4700,Patented Case,1980-12-04,FILE REPOSITORY (FRANCONIA),1999-06-10,,,,,4273257,1981-06-16,JAR MOUNTED PIPETTOR,UNDISCOUNTED,false
05817016,1977-07-19,Utility,"NOT, DEFINED",3502,494,045000,2998,NONE,Patented Case,1983-10-07,FILE REPOSITORY (FRANCONIA),1997-04-23,,,,,4419089,1983-12-06,BLOOD CELL SEPARATOR,UNDISCOUNTED,false
05814726,1977-07-11,Utility,"SIEGEL, ALAN M",1203,260,999999,2393,,Patented Case,1982-07-06,FILE REPOSITORY (FRANCONIA),1999-06-10,,,,,4324743,1982-04-13,METHOD OF PREPARING GAMMA-L-GLUTAMYL TAURINE,UNDISCOUNTED,false
05814618,1977-07-11,Utility,"GOLIAN, JOSEPH",1302,426,424000,2375,,Patented Case,1981-04-28,FILE REPOSITORY (FRANCONIA),1999-06-10,,,,,4279937,1981-07-21,LIQUID EXTRACT DECAFFEINATION WITH BENZYL ALCOHOL CONTAINING MIXTURES,UNDISCOUNTED,false
05817071,1977-07-19,Utility,"CLARKE, VERA",1206,424,005000,3008,PG-0066,Patented Case,1981-12-29,SUITLAND STORAGE DEPOT,2007-06-19,,,,,4307072,1981-12-22,N-TRIIODOBENZOYLAMINOACYL POLYHYDROXIC AMINES,UNDISCOUNTED,false
05817052,1977-07-19,Utility,"CLAWSON JR, JOSEPH",2503,999,022000,3002,NONE,Patented Case,1982-09-09,FILE REPOSITORY (FRANCONIA),2009-02-04,,,,,4337473,1982-06-29,JUNCTION FIELD EFFECT TRANSISTOR HAVING UNSATURATED DRAIN CURRENT CHARACTERISTIC WITH LIGHTLY DOPED DRAIN REGION,UNDISCOUNTED,false
05817177,1977-07-20,Re-Issue,"VRABLIK, JOHN J",3403,418,06100B,3035,TRW,Patented Case,1983-01-24,FILE REPOSITORY (FRANCONIA),2018-11-06,,,,,RE31067,1982-10-26,HYDROSTATIC CONTROL UNIT,UNDISCOUNTED,false
05817308,1977-07-20,Utility,"WELSH JR, MAURICE",1503,521,112000,3057,MO944CIP,Patented Case,1983-07-22,FILE REPOSITORY (FRANCONIA),1997-04-21,,,,,4405725,1983-09-20,FOAMED POLYISOCYANURATES,UNDISCOUNTED,false
05817058,1977-07-19,Utility,"BAREFOOT, GALEN L",3105,244,118100,3005,ERI7015,Patented Case,1983-02-03,FILE REPOSITORY (FRANCONIA),1999-06-10,,,,,4378919,1983-04-05,APPARATUS FOR CONTROLLING ORIENTATION OF A SUSPENDED LOAD,SMALL,false
05817332,1977-07-20,Utility,"SHAPIRO, PAUL",3304,273,999999,3063,,Patented Case,1983-08-04,FILE REPOSITORY (FRANCONIA),1997-04-23,,,,,4407498,1983-10-04,LOCK FOR A FLEXIBLE ELEMENT,SMALL,false
