event_code,description
OATHDECL,"A statement by one or more inventors satisfying the requirement under 35 USC 115, Oath of the Applic"
ODPD,ODM Petition Decision
ODPD10,M327-D  PUB OTHER MISCELLANEOUS COMMUNICATION TO APPLICANT
ODPD15,PUB NOTICE OF DRAWING INCONSISTENCY WITH SPECIFICATION
ODPD17,PUB NOTICE OF RESCINDED ABANDONMENT
ODPD22,PUB ACKNOWLEDGEMENT INVENTOR SHIP
ODPD25,PUB ACKNOWLEDGEMENT DRAWING
ODPD26,NOTICE TO FILE CORRECTED APPLICATION PAPERS - VACATED
ODPD27,NOTICE OF NON-COMPLIANT IDS - VACATED
ODPD28,ISSUE FEE RETURNED UNPAID
ODPD29,PETITION DECISION ? Dismissal PreExam Abandonment -1.138(d) and/or 1.138(c)
ODPD30,PETITION DECISION - 1.138 C
ODPD31,PATENT WITHDRAWAL NOTICE
ODPD32,M327-D -PUBS OTHER MISCELANEOUS COMMUNICATION TO APPLICANT
ODPD33,NTC.USIFEE-NOTICE REGUARDING UNSIGNED 85B FORM
ODPD:1,DISMISSED - Decision to Accept Color Drawings under 37 CFR 1.84(a)(2)
ODPD:2,DISMISSED - Decision for Express Abandonment Petition Decision under 37 CFR  1.138(c)
ODPD:3,DISMISSED - Abandonment Petition Decision under 37 CFR 1.138 (d)
ODPD:4,GRANTED - Decision to Accept Color Drawings under 37 CFR 1.84(a)(2)
ODPD:5,GRANTED - Express Abandonment Petition Decision under 37 CFR  1.138(c)
ODPD:6,GRANTED - Express Abandonment Petition Decision under 37 CFR 1.138 (d)
ODPD:7,Notice of Improper Letter of Express Abandonment under 1.138(a)
ODPD:8,Letter Withdrawing a Notice Requiring Inventor Oath or Declaration
ODPET1,PREV - 503 PETITION TO REVIVE APPLICATION - GRANTED
ODPET10,PETITION DECISION VACATED - 1.138D/1.138C
ODPET11,PETITION DECISION DISMISSED - 37 CFR 1.221(a)
ODPET12,PETITION DECISION DISMISSED-37 CFR 1.221(b)
ODPET3,PREV - 1.81 PETITION TO REVIVE APPLICATION - GRANTED
ODPET4,PREV - 1.81 PETITION TO REVIVE APPLICATION - DISMISSED
ODPET7,PREV - 711.03 PETITION TO REVIVE APPLICATION - GRANTED 
ODPET8,PREV - 711.03 PETITION TO REVIVE APPLICATION - DISMISSED
ODPET9,PETITION DECISION DISMISSED - INSUFFICIENT RESPONSE
ODRWNFD,Ommited Drawings.  Applicant has Petitioned that the Filing Date not be changed and the Petition has
OIPE,Application Dispatched from OIPE
OMIT,Notice of Omitted Items
OPPT,O.P. Petition Decision
OR.T,OR.T
OSC.,OSC.
OSPECNFD,Ommited Specification Pages.  Applicant has Petitioned that the Filing Date not be changed and the P
P002,Record Petition Decision of Granted to Suspend an Action
P003,Record Petition Decision of Granted to Make Special
P004,Record Petition Decision of Granted to Reinstate an Appeal
P005,Record Petition Decision of Granted to Accept Delayed Payment of Issue Fee
P006,Record Petition Decision of Granted to Withdraw from Issue
P007,Record Petition Decision of Granted to Withdraw from Issue for Express Abandonment
P008,Record Petition Decision of Granted Related to Attorney
P009,Record Petition Decision of Granted Related to International Filing Date
P010,Record Petition Decision of Granted Related to Filing Date
P011,Record Petition Decision of Granted Related to Inventor in Patent
P012,Record Petition Decision of Granted Related to Inventor in Application
P013,Record Petition Decision of Granted to Make Entity Status Small
P014,Record Petition Decision of Granted to Make Entity Status large
P015,Record Petition Decision of Granted to Withdraw from Issue - with assigned Patent NO.
P016,Record Petition Decision of Granted Related to Entering Priority Papers
P019,Record Petition Decision of Granted Related to Certificate of Correction
P020,Record Petition Decision of Granted for Extension of Time in Reexamination
P023,Record a Petition Decision of Granted to Issue Patent in Name of the Assignee
P025,Record a Petition Decision of Granted for Patent Term Adjustment after Allowance
P026,Record a Petition Decision of Granted for Patent Term Adjustment after Issue
P027,Record a Petition Decision of Granted to Defer Issuance of Patent
P028,Adjustment of PTA Calculation by PTO
P029,Adjustment of PTE Calculation by PTO
P030,Record Petition Decision of Granted Related to Conversion
P031,Record Petition Decision of Granted to Withdraw ssue for Express Abandonment - with assigned Patent
P032,Petition to Revive Application For Continuity Purposes- Granted
P033,Petition Decision - Granted
P034,Petition Decision - Granted
P102,Notification Concerning Payment of Fees
P103,Invitation to Correct Purported International Application
P104,Notification That Application Not Treated as Intntl. Appl.
P105,Notification of Intntl. Appl. Number and Intntl. Filing Date
P106,Invitation to Correct Defects
P107,Notification of Non-Inclusion of Drawings
P108,FORM DELETED
P109,Notification of Decision Concerning Request for Rectification
P110,Invitation to Correct Priority Date or Cancel Priority Claim
P111,Notification of Correction or Cancellation of Priority Claim
P112,Notification Concerning Expression
P113,Request for Recording a Change
P114,Notification on Decision of Confirmation of Incorporation by Reference Of Element
P115,Notification of Intention to Make Declaration of Withdrawal
P116,Notification of Designations Considered to be Withdrawn
P117,Notification That Intntl. Application Considered Withdrawn
P119,Notification of Refund of Fees
P120,FORM DELETED
P121,FORM DELETED
P123,Notification Concerning Representation
P124,Notification of Defective POA or Defective Revocation of POA
P125,FORM DELETED
P126,Notification Concerning Later Submitted Sheets/Drawings
P127,FORM DELETED
P131,FORM DELETED
P132,Miscellaneous Communication
P133,Invitation to Pay Fees and Late Fee
P134,FORM DELETED
P135,FORM DELETED
P136,Notification of Withdrawal
P137,FORM DELETED
P138,Communication Regarding Extension of Time
P139,Notification of Confirmation of Precautionary Designations
P140,FORM DELETED
P141,FORM DELETED
P142,FORM DELETED
P143,Notification That Intntl. Appl. Considered to be Withdrawn
P144,FORM DELETED
P145,FORM DELETED
P146,Notification of Ex-officio correction
P147,Notification Concerning Failure to Forward Record Copy
P148,FORM DELETED
P149,FORM DELETED
P150,Invitation to Furnish Translation
P151,Notification of Transmittal of Intntl. Appl. to IB as RO
P152,Invitation to Authorize Transmittal of Intntl. Appl. to IB as RO
P156,Invitation to Correct Declarations Made in Request
P158,Notification of Intended Refusal of Request to Restore Right of Priority
P159,Notification of Decision on Request to Restore Right of Priority
P160,FORM DELETED
P166,FORM DELETED
P202,Notification of Receipt of Search Copy
P203,PCT - Chapter 1 Form 203 (Declaration of Non-Establishment of ISR)
P205,PCT - Chapter 1 Form 205 (Notification of Modification of Abstract)
P206,PCT - Chapter 1 Form 206 (Invitation to Pay Additional Fees)
P207,PCT - Chapter 1 Form 207 (Informal Clarification)
P209,Notification of Facts Related to Recordation of Filing Date
P210,International Search Report Ready to be Mailed
P211,Notification of Transmittal of Copies of Cited Documents
P212,PCT - Chapter 1 Form 212 (Notification of Decision on Protest)
P216,Invitation to Request Rectification
P217,Notification of Decision Concerning Req. for Rectification
P218,PCT - Chapter 1 Form 218 (Notification Concerning Expressions)
P224,General Communication - No Other Forms Applicable
P225,Invitation to Furnish Sequence Listing
P232,Notification Concerning File Papers or Documents
P237,ISA Written Opinion
P299,P299
P327,Priority Paper Acknowledgement
P327-P,Acknowledgement of Priority Papers-Pub
P3DS,Third Party IDS communication
P412,Notification of Decision Concerning Req. for Rectification
P4S8,P4S8
P574,PARALEGAL OR ELECTRONIC TERMINAL DISCLAIMER APPROVED
P575,Paralegal TD Not accepted
P903,P903
PA..,Change in Power of Attorney (May Include Associate POA)
PA.B,Change in Power of Attorney (May Include Associate POA)
PACC,Exam. Ans. Review Complete
PACK,Acknowledgement of Priority Papers
PC/I,Power to Make Copies and/or Inspect
PCH1T,PCT Ch. 1 Transcription
PCOM,Completion of Preprocessing - Released to Assigned GAU
PCONVR,Petition to Convert Provisional to Regular
PCRD,Prosecution Conference Pilot -  Request Defective
PCRO,Prosecution Conference Pilot -  Reopen Prosecution
PCRP,Prosecution Conference Pilot -  Rejection Proper
PCS,"A cover letter for a provisional application, containing much of the information that would otherwis"
PCTA,PCTA
PCTB,PCTB
PCTC,PCTC
PCTE,Search Report Mailed to International Bureau
PCTFR,PCT Formality Review
PCTP,PCT Processed
PCTR,PCTR
PCTS,PCTS
PD.FAIL,Final PDX/DAS request for priority document has failed
PD.RECVD,Priority document has successfully retrieved via PDX/DAS
PDCI,Pet Dec Routed to Certificate of Corrections Branch
PDDM,Pet Dec Routed to ODM (PUBS)
PDLR,Pet Dec License and Review Out
PDOE,Pet Pet Dec Routed to OPAP (OIPE)
PDOR,Priority Document Ordered
PDPH,Pet Dec PPH Decision
PDREQUST,Request from applicant for the USPTO to retrieve the Priority Document
PDRT,Pet Dec Routed to Tech Center
PDTD,Pet Dec Track 1 Deny
PDTG,Pet Dec Track 1 Grant
PEAC,Post-examiner ans. com
PET.,Petition Entered
PET1,Petition Entered
PET2,Petition Entered
PETD,Petition Decision - Denied
PETG,Petition Decision - Granted
PETR,Request for Reconsideration of Petition Decision
PFA,PILOT - Pre-Interview Communication
PFP,petition fee paid
PG-ISSUE,PG-Pub Issue Notification
PG-PB-DT,PG-Pub Notice of new or Revised projected publication date
PG-RQST,PG-Pub Request
PG-SUBM,PG-Pub Submission
PGM/,Recordation of Patent Grant Mailed
PGM/COC,Recordation of Patent Grant Mailed - Certificate of Correction
PGM/D,Recordation of Patent Grant Mailed - Duplicate Letters Patent Mailed
PGM/R,Recordation of Patent Grant Mailed - Remailed
PGPC,Sent to Classification Contractor
PGPW,Waiting LR clearance
PICO,Pre-Interview Communication (FAI Step 1)
PICS,XXXXX
PILS,Application Is Considered Ready for Issue
PILX,Application Removed from Issue-Ready Status
PL47,Petition Flag Set at Petitions Office
PM00,PM00
PM01,PM01
PM02,PM02
PM03,PM03
PM04,PM04
PM05,PM05
PM06,PM06
PM07,PM07
PM08,PM08
PM09,PM09
PM10,PM10
PM11,PM11
PM12,PM12
PM13,PM13
PM14,PM14
PM15,PM15
PM16,PM16
PM17,PM17
PM18,PM18
PM19,PM19
PM20,PM20
PM21,PM21
PM22,PM22
PM23,PM23
PM24,PM24
PM25,PM25
PM26,PM26
PM27,PM27
PM28,PM28
PM29,PM29
PM30,PM30
PM31,PM31
PM32,PM32
PM33,PM33
PM34,PM34
PM35,PM35
PM36,PM36
PM37,PM37
PM38,PM38
PM39,PM39
PM40,PM40
PM41,PM41
PM42,PM42
PM43,PM43
PM44,PM44
PM45,PM45
PM46,PM46
PM47,PM47
PM48,PM48
PM49,PM49
PM50,PM50
PM51,PM51
PM52,PM52
PM53,PM53
PM54,PM54
PM55,PM55
PM56,PM56
PM57,PM57
PM58,PM58
PM59,PM59
PM60,PM60
PM61,PM61
PM62,PM62
PM63,PM63
PM64,PM64
PM65,PM65
PM66,PM66
PM67,PM67
PM68,PM68
PM69,PM69
PM70,PM70
PM71,PM71
PM72,PM72
PM73,PM73
PM74,PM74
PM75,PM75
PM76,PM76
PM77,PM77
PM78,PM78
PM79,PM79
PM80,PM80
PM81,PM81
PM82,PM82
PM83,PM83
PM84,PM84
PM85,PM85
PM86,Priority Document Mailed to IB
PM87,PM87
PM88,PM88
PM89,PM89
PM90,PM90
PM91,PM91
PM92,PM92
PM93,PM93
PM94,PM94
PM95,PM95
PM96,PM96
PM97,PM97
PM98,PM98
PM99,PM99
PMFD,Petition Decision - Accept Late Payment of Maintenance Fees - Denied
PMFG,Petition Decision - Accept Late Payment of Maintenance Fees - Granted
PMFP,Petition to Accept Late Payment of Maintenance Fee Payment Filed
PMFS,Petition Decision - Accept Late Payment of Maintenance Fees -  Dismissed
PMFX,Maintenance Fee Related Petition Received at Location Other Than D/AC Patents
PMRIA,PX-Micro entity Request Improper Request by Attorney
POSTCARD,A self-addressed post card (having the applicant's address) received with a patent application for t
PPET,Paralegal Petition Decision
PR00,PR00
PR01,PR01
PR02,PR02
PR03,PR03
PR04,PR04
PR05,PR05
PR06,PR06
PR07,PR07
PR08,PR08
PR09,PR09
PR10,PR10
PR11,PR11
PR12,PR12
PR13,PR13
PR14,PR14
PR15,PR15
PR16,PR16
PR17,PR17
PR18,PR18
PR19,PR19
PR20,PR20
PR21,PR21
PR22,PR22
PR23,PR23
PR24,PR24
PR25,PR25
PR26,PR26
PR27,PR27
PR28,PR28
PR29,PR29
PR30,PR30
PR31,PR31
PR32,PR32
PR33,PR33
PR34,PR34
PR35,PR35
PR36,PR36
PR37,PR37
PR38,PR38
PR39,PR39
PR40,PR40
PR41,PR41
PR42,PR42
PR43,PR43
PR44,PR44
PR45,PR45
PR46,PR46
PR47,PR47
PR48,PR48
PR49,PR49
PR50,PR50
PR51,PR51
PR52,PR52
PR53,PR53
PR54,PR54
PR55,PR55
PR56,PR56
PR57,PR57
PR58,PR58
PR59,PR59
PR60,PR60
PR61,PR61
PR62,PR62
PR63,PR63
PR64,PR64
PR65,PR65
PR66,PR66
PR67,PR67
PR68,PR68
PR69,PR69
PR70,PR70
PR71,PR71
PR72,PR72
PR73,PR73
PR74,PR74
PR75,PR75
PR76,PR76
PR77,PR77
PR78,PR78
PR79,PR79
PR80,PR80
PR81,PR81
PR82,PR82
PR83,PR83
PR84,PR84
PR85,PR85
PR86,PR86
PR87,PR87
PR88,PR88
PR89,PR89
PR90,PR90
PR91,PR91
PR92,PR92
PR93,PR93
PR94,PR94
PR95,PR95
PR96,PR96
PR97,PR97
PR98,PR98
PR99,PR99
PRAR,PRAR
PREAMND,Preliminary Amendments
PREFD,PX-Denial of Request for Refund
PREV,Petition to Revive Application - Granted
PRIR,Paralegal Reissue Review Complete
PROT,Protest - 3rd Party (before publication or with applicant's consent)
PRTI,Potential Restriction Telephonic Interview
PRXR,Paralegal Reexam Review Complete
PST_CRD,Mail Post Card
PTA.RFE,Patent Term Adjustment - Ready for Examination
PTABTC,Appeal Not ready for PTAB Review (Regular)
PTAC,Patent Issue Date Used in PTA Calculation
PTDE,Petition Decision - Denied
PTDE-1,Petition Decision - Denied
PTDI,Petition Decision - Dismissed
PTDI-1,Petition Decision - Dismissed
PTDI-ABC,Dismissed - Petition for express abandonment under rule 37 CRF 1.138(c)
PTDI-ABD,Dismissed -Petition for express abandonment under rule 37 CRF 1.138(d)
PTDI-PTA,Petition Decision - Dismissed
PTEC,Patent Term Extension Certificate
PTED,Patent Term Extension (156) Dismissed
PTEELRN,Election in Response to Notice of Final Determination
PTEF,transaction for FDA Determination of Regulatory Review Period
PTEFDAF,FDA Final Eligibility Letter
PTEI,Interim Patent Term Extension Granted
PTEINFO,Requirement for information sent under 37 CFR 1.750
PTEIR,PTE Interim Patent Extension filed
PTEL,Letter re PTE application to FDA or Dept of Agriculture
PTELT1,Initial letter Re: PTE Application to regulating agency
PTELT2,Second letter to regulating agency to determine regulatory review period 
PTER,Patent Term Extension Application under 35 USC 156 Filed
PTERCN,37 CFR 1.750 Request for reconsideration
PTERESP,Resp. to req. for info. sent under 37 CFR 1.750
PTEW,Withdrawal of Application for PTE
PTEWVE,PTE *Waiver of time period for requesting reconsideration
PTGP,Petition Decision - Granted in Part
PTGP-1,Petition Decision - Granted in Part
PTGR,Petition Decision - Granted
PTGR-1,Petition Decision - Granted
PTGR-ABC,Granted - Petition for express abandonment under rule 37 CRF 1.138(c)
PTGR-ABD,Granted - Petition for express abandonment under rule 37 CRF 1.138(d)
PTRD,Decision on Request for Reconsideration of Petition Decision- Denied
PTRE,Decision on Request for Reconsideration of Petition Decision - Granted
PTRF,Partial Refusal Hague Treaty
PTRG,Decision on Request for Reconsideration of Petition Decision - Granted
PTRO,No Entity Code Definition No Entity Code Definition
PTRP,Decision on Request for Reconsideration of Petition Decision - Granted-in-Part
PUBTC,Pubs Case Remand to TC
QPREQ,Quick Path IDS Request
QPRO,Quick Path IDS Reopen Prosecution
QRCE,Quick Path IDS Examiner-directed entry of RCE
R1021,Receipt into Pubs
R105,Response to Rule 105 Required for Information Filed
R106,R106
R129,Request under Rule 129 to Reopen Prosecution
R1551,"Refund - Payment of Maintenance Fee, 4th Year, Large Entity"
R1552,"Refund - Payment of Maintenance Fee, 8th Year, Large Entity"
R1553,"Refund - Payment of Maintenance Fee, 12th Year, Large Entity"
R1554,"Refund - Surcharge for Late Payment, Large Entity"
R1555,"Refund - 7.5 yr surcharge - late pmt w/in 6 mo, Large Entity"
R1556,"Refund - 11.5 yr surcharge - late pmt w/in 6 mo, Large Entity"
R1558,"Refund - Surcharge, Petition to Accept Pymt After Exp, Unintentional"
R1559,Refund - Payment of Maintenance Fee under 1.28(c)
R155X,1.55/1.78 Indicator set
R206,PCT Chapter I Miscellaneous Response
R223,R223
R225,PCT Chapter I Response Received For Sequence Requirment
R2551,"Refund - Payment of Maintenance Fee, 4th Yr, Small Entity"
R2552,"Refund - Payment of Maintenance Fee, 8th Yr, Small Entity"
R2553,"Refund - Payment of Maintenance Fee, 12th Yr, Small Entity"
R2554,"Refund - Surcharge for late Payment, Small Entity"
R2555,"Refund - 7.5 yr surcharge - late pmt w/in 6 mo, Small Entity"
R2556,"Refund - 11.5 yr surcharge- late pmt w/in 6 mo, Small Entity"
R2558,"Refund - Surcharge, Petition to Accept Pymt After Exp, Unintentional."
R26P,R26P
R331,Demand Received
R3551,"Refund - Payment of Maintenance Fee, 4th Year, Micro Entity"
R3552,"Refund - Payment of Maintenance Fee, 8th Year, Micro Entity"
R3553,"Refund - Payment of Maintenance Fee, 12th Year, Micro Entity"
R3554,"Refund - Surcharge for Late Payment, Micro Entity"
R3555,"Refund - Surcharge for Late Payment, Micro Entity"
R3556,"Refund - Surcharge for Late Payment, Micro Entity"
R3558,"Refund - Surcharge, Petition to Accept Pymt After Exp, Unintentional"
R371,Receipt of 371 Request
R48ACLT,Letter Accepting Correction of Inventorship Under Rule 1.48
R48RJLT,Letter Rejecting Correction of Inventorship Under Rule 1.48
R4S8,R4S8
R5003,Dispatch from PCT Operations - Chapter I
R5004,Dispatch from PCT Operations - Chapter II
R85B,Workflow -Received 85b - Unmatched
RABN,ABANDONMENT - RESTORED
RAFC,PILOT- Request for After Final Consideration Program
RBNE,Reply Brief Noted by Examiner
RBPAI,RESTORED TO BOARD DECISION STATUS
RCAP,Reference capture on IDS
RCCP,RX - Concurrent Proceedings Notice
RCDT,Receipt Date
RCEX,Request for Continued Examination (RCE)
RCIB,Record Copy For IB
RCOM,RCOM
RCONVP,Petition to Convert Regular to Provisional
RDC.,RDC.
RDCP,RX - Decision Merging Inter Partes & Ex Parte Proceedings
RE11,X-Post-Legal Complete Rejection
RE15,X-Post-Legal Complete Rejection
RE16,X-Post-Legal Complete Rejection
RE17,X-Post-Legal Complete Rejection
RE18,X-Post-Legal Complete Rejection
RE19,X-Post-Legal Complete Rejection
RE20,X-Post-Legal Complete Rejection
RE22,X-Post-Legal Complete Rejection
RE23,X-Post-Legal Complete Rejection
RE25,X-Post-Legal Complete Rejection
RE26,X-Post-Legal Complete Rejection
RE27,X-Post-Legal Complete Rejection
RE28,X-Post-Legal Complete Rejection
RE32,X-Post-Legal Complete Rejection
RE33,X-Post-Legal Complete Rejection
RE34,X-Post-Legal Complete Rejection
REAS,Response to Reasons for Allowance
RECX,No Entity Code Definition No Entity Code Definition
REEX,Input Issue Number and Issue Date for Reexamination
REIBHA,Receipt of Indirectly Filed Application from I.B. (Hague)
REIN,Reinstate Patent
REM.,Maintenance Fee Reminder Mailed
RENHA,Renounced under the Hague Agreement
REPCLAIM,Replacement Claims (Changes the Filing Date)
REPS,Application scanned in CRU and can be accessed by the REPS system in the Public Search Room
RESC,Rescind Nonpublication Request for Pre Grant Publication
REST,Requirement for Restriction / Election Only
RET/,Payment of Retention Fee Not Timely or Sufficient
RETD,RX - Decision Terminating of Reexam
RETF,Payment of Retention Fee
REVCM,Review Certificate Mailed
REVXMTHA,Pre-Exam Transmittal Review Complete (Hague)
RFAI,Request for first action interview
RFHA,Refusal Hague Treaty
RI..,Requirement for Information
RJ.NG,Rejection- New Grounds
RLIM,Response to Notice of Lost Image
RLIT,Reissue in litigation
RMAPDR,Restart Response PTAB Decision on Appeal - Reversed
RMAPE2,Restart Response Supplemental Examiner's Answer
RMAPEA,Restart Response Examiner's Answer
RMCTEQ,Restart Response Ex Parte Quayle Action (PTOL - 326)
RMCTFR,Restart Response Final Rejection (PTOL - 326)
RMCTNF,Restart Response Non-Final Rejection
RMCTRS,Restart Response Restriction Requirement
RMMCPA,Restart Response Notice of Missing Parts CPA
RMN/=.,Restart Response Notice of Allowance
ROIPE,Application Return TO OIPE
ROPN,RX - Reopen Prsecution after PTAB Decision
ROSC,RX - Order to Show Cause (or Supplemental)
ROST,"RO complete, placed in storage"
RPBR,Reply Brief Review Complete
RPCP,Prosecution Pilot Conference Conducted
RPEA,Resp. to post-examiner ans
RPICO,Response to PICO-Request
RPLDRWG,Replacement Drawings (Changes the Filing Date)
RPLSPEC,Replacement Specification
RPRD,RX - Petition for Review of Reexam Denial
RQ.MS.PT,Request to Participate in the Missing Parts Pilot
RQ/T,RQ/T
RQIB,Request for Missing IB Paper
RQMP,RQMP
RQPR,Request for Foreign Priority (Priority Papers May Be Included)
RQS.,RQS.
RQSP,RQSP
RQTA,RQTA
RR.T,RR.T
RRBN,RX - Reply Brief Noted by examiner
RRCDK,Rocket Docket request
RRCT,RRCT
RRES,RX - Letter Restarting Period Of Response
RRESP,Restart Response of action
RRI.,Response to Requirement for Information
RRIP,RRIP
RRPC,Paralegal Reissue Review Complete
RSEIN,SE - Corrected Request/Response to Incomplete SE Notice
RSES,RSES
RSET,RX - Letter Restarting a Period for Response
RTAD,Released to OIPE
RTNP,RECONSTRUCTION COMPLETE NO PAPERS PROVIDED
RTRD,RX - Petition Received re Denial of a request for inter partes reexamination)
RU45,Conversion under Rule 45
RU47,Rule 47 / 48 Correction of Inventorship Papers Filed
RVIFEEHA,Reversal of Issue Fee by I.B. (Hague)
RXA...,Response after Non-Final Action
RXA.LA,Late Amendment Filed
RXA.NC,Amendment after NIRC
RXA.NE,Response - Not Entered
RXA.PE,Pre-Examination Amendment
RXA.QU,Response after ex parte Quayle
RXA/RC,Amendment after Reexamination Certificate
RXA/RR,Request Reconsideration and/or Argument after Non-Final Action
RXAAF.,Response to Final Filed (or Ready for Examiner Action)
RXAF/D,"Affidavit(s), Declaration(s) and/or Exhibit(s) Filed"
RXAF/DR,"Reexam  - Affidavit(s), Declaration(s) and/or Exhibit(s) Filed by Third Party Requester"
RXAI,RX - Informal / NonResponsive Amendment after Examiner Action
RXAMNE,"Amendment After Final, Not Entered"
RXAP.B,Appeal Brief Filed
RXAPAF,"Affidavit(s), Declaration(s) and/or Exhibit(s) Filed after Notice of Appeal (prior to PTAB Decision)"
RXAPBD,Notification of Defective Brief
RXAPBI,Defective Brief Filed
RXAPBP,Appeal Brief Filed by Protestor
RXAPBR,Appeal Brief Review Complete
RXAPDFA,PTAB Decision on Rehearing - Decision is Final and Appealable
RXAPDRN,PTAB Decision on Rehearing - Decision is New Decision
RXAPHC,Reexam  Appeal - Oral Hearing Conducted at PTAB
RXAPRB,Reply Brief Filed
RXAPRR,Request for Reconsideration to PTAB Decision
RXBD.A,Amendment/Argument after PTAB Decision
RXBDAF,PTAB Decision - Affirmance
RXBDAP,PTAB Decision - Affirmance-in-part
RXBDRR,PTAB Remanded Reexam to Examiner
RXBDRV,PTAB Decision -  Reversal
RXBIG.,Applicant Has Filed a Statement Indicating a Loss of Entitlement to Small Entity Status.
RXBPAI,Reexam Forwarded to PTAB
RXC.AD,Correspondence Address Change
RXC.ADR,Reexam  - Correspondence Address Change for Third Party Requester
RXC/M.,Certificate of Mailing
RXC/R.,Request for Reconsideration / Clarification
RXC/SR,Certificate of Service
RXC600,Supplemental Declaration / Oath
RXC602,Declaration or Oath (Including Substitute) Filed
RXC604,Substitute Specification
RXC605,Certified Translation of Specification
RXC614,New or Additional Drawing Filed
RXC690,Request for Certificate of Correction P/E
RXCAFC,Court of Appeals Decision Rendered
RXCERT,Reexamination Certificate Issued
RXCODR,Commissioner Initiated Order for Reexam in Preprocessing
RXCOFC,Reexam Certificate of Correction
RXCTAP,Appeal PTAB Decision to Court of Appeals
RXCTIN,Interference Communication: Initial Memo
RXDISQ,Terminal Disclaimer
RXDIST,Terminal Disclaimer Filed
RXDOCK,Reexam Assigned to Examiner for Determination
RXDOR,Director Initiated Order for Reexam in Preprocessing
RXDPAC,Preauthorization to Have Fees Charged to Deposit Account Filed
RXEABN,Request to Terminate Reexam
RXFEE.,Fee Payment Only Filed
RXFOND,Case Found
RXFWDX,Date Forwarded to Examiner
RXIDS.,Information Disclosure Statement Filed
RXIDS.R,Reexam  - Information Disclosure Statement Filed by Third Party Requester
RXITERPR,Incoming Correspondence for Inter Partes Reexamination
RXLET.,Miscellaneous Incoming Letter
RXLITSR,Reexam Litigation Search Conducted
RXLOST,Case Reported Lost
RXLQ..,Letter of Inquiry Filed
RXLTDR,Incoming Letter Regarding the Drawings
RXM844,Information Disclosure Statement Filed
RXM856,Request for Suspension Filed
RXM865,Request for Examiner Interview Filed
RXMISC,Miscellaneous Action Mailed
RXMMIS,Miscellaneous Letter Mailed
RXN/AP,Notice of Appeal Filed
RXN570,Communication Concerning Power of Attorney (PTOL-308)
RXNFDACC,Reexam  - Notice of filing date accorded
RXNOCA,Notice of Court Action
RXNREQAU,Notice of assignment of reexamination request
RXNREQFD,Notice of reexamination request filing date
RXNRQREC,Notice of reexamination request received
RXNTRM,Notice of Termination of Incomplete Reexam Request (Mailed)
RXO/PT,Submission of Original Patent Grant
RXOIPE,Application Dispatched from OIPE
RXOPPPET,Reexam  - Opposition filed in response to petition
RXOR.T,Timely Owner Statement in Response to Order
RXOR.U,Untimely/No Owner Statement 
RXOSUB,Receipt of Original Ex Parte Reexam Request
RXOSUB.R,Reexamination requested by third party requester
RXOSUC,Orig Req Receipt Corrected
RXO_40,Receipt of Orig. Ex Parte Reexam Request Less Than 40 Pages-Rule 1.20(c )(1)
RXO_40.C,Receipt of Corrected Orig. Ex Parte Request Less Than 40 Pages- Rule 1.20(c )(1)
RXO_40.R,Receipt of Orig. Ex Parte Request by Third Party Less Than 40 Pages - Rule 1.20(c )(1)
RXPA..,Change in Power of Attorney (May Include Associate POA)
RXPA..R,Reexam  - Change in Power of Attorney (May Include Associate POA) for Third Party Requester
RXPC/I,Power to Make Copies and/or Inspect
RXPCOM,Completion of Preprocessing - Released to Assigned GAU
RXPET.,Receipt of Petition in a Reexam
RXPETROH,Petition under 41.3 - Request to Reschedule Oral Hearing
RXPROT,Protest Filed under 37 CFR 1.291
RXPUBS,Reexam Forwarded to Office of Publications
RXRANC,Response to Amendment after NIRC Mailed
RXRLF,ReExam Litigation Found
RXRQ/T,Request for Extension of Time
RXRQMP,Request to Merge Proceedings
RXRQOH,Request for Oral Hearing
RXRQPR,Request for Foreign Priority (Priority Papers May Be Included)
RXRQSP,Request to Stay Reexam Proceedings
RXRQTS,Request for Suspension of Reexam Proceedings
RXRR.T,Timely Requestor's Reply to an Owner's Statement
RXRR.U,Untimely Requestor Reply to an Owner's Statement - Not Made of Record/Returned
RXRTN2TC,Reexam returned to TC for correction/completion
RXRU47,Rule 47 Papers
RXSA..,Supplemental Response after Non-Final Rejection
RXSADV,Supplemental Advisory Action
RXSAFR,Supplemental Amendment after Final Rejection
RXSAPB,Supplemental Appeal Brief Filed
RXSCNR,Scanned in Central Reexam Unit
RXSEPQ,Supplemental Ex Parte Quayle Action
RXSFR.,Supplemental Final Rejection
RXSMAL,Verified Small Entity Statement in Compliance with 37 CFR 1.27
RXSR..,Supplemental Non-Final Rejection
RXSRCH,Official Search Conducted
RXTD.NE,Reexam Notification of Terminal Disclaimer - Not Accepted
RXTD.OK,Reexam Notification of Terminal Disclaimer - Accepted
RXTMOS,Termination of Official Search
RXTSRP,Suspension in a Reexam Proceeding
RXTTLRPT,Title Report
RXWDPA,Notification of Withdrawal of Attorney P/D
RXWVST,Waiver of owners statement in ex parte
RXXT/D,Request for Extension of Time - Denied
RXXT/G,Request for Extension of Time Granted
R_CPA_ST,Reset CPA to New Case Status of 030
SA..,Supplemental Response
SA.P,SA.P
SADV,Supplemental Examiner Action
SAFR,Supplemental Amendment after Final Rejection
